iter	Passed	Remaining
0	344	34060
1	575	28190
2	771	24932
3	996	23904
4	1086	20652
5	1174	18405
6	1264	16794
7	1372	15788
8	1501	15185
9	1695	15255
10	1855	15016
11	1987	14577
12	2069	13846
13	2154	13234
14	2239	12692
15	2337	12272
16	2421	11821
17	2506	11419
18	2607	11116
19	2705	10822
20	2789	10492
21	2870	10175
22	2954	9892
23	3041	9632
24	3129	9389
25	3212	9143
26	3298	8917
27	3381	8694
28	3463	8479
29	3548	8280
30	3632	8085
31	3715	7896
32	3793	7701
33	3878	7529
34	3960	7355
35	4049	7198
36	4183	7122
37	4304	7022
38	4387	6861
39	4466	6699
40	4546	6542
41	4621	6382
42	4705	6237
43	4784	6088
44	4862	5943
45	4942	5802
46	5021	5662
47	5114	5541
48	5194	5406
49	5274	5274
50	5356	5146
51	5435	5017
52	5517	4893
53	5600	4770
54	5683	4649
55	5761	4526
56	5842	4407
57	5924	4289
58	6002	4171
59	6087	4058
60	6178	3950
61	6305	3864
62	6392	3754
63	6476	3643
64	6559	3531
65	6658	3430
66	6756	3327
67	6842	3219
68	6932	3114
69	7027	3011
70	7113	2905
71	7200	2800
72	7295	2698
73	7377	2592
74	7456	2485
75	7537	2380
76	7622	2276
77	7704	2172
78	7781	2068
79	7861	1965
80	7953	1865
81	8040	1764
82	8130	1665
83	8214	1564
84	8292	1463
85	8372	1362
86	8494	1269
87	8572	1169
88	8657	1070
89	8745	971
90	8827	873
91	8910	774
92	8991	676
93	9075	579
94	9168	482
95	9252	385
96	9340	288
97	9425	192
98	9505	96
99	9585	0
