iter	Accuracy	MultiClass
0	0.7182208744	1.25979042
1	0.7182208744	1.166788775
2	0.7184013863	1.088205826
3	0.7182569768	1.026580082
4	0.7196288675	0.9782498254
5	0.7216144987	0.9386470006
6	0.7330770064	0.9049956122
7	0.7330950576	0.8754703228
8	0.7330589552	0.8528419481
9	0.7330589552	0.8311484477
10	0.7333116719	0.8124615763
11	0.7337810029	0.7965453989
12	0.7396476407	0.7732967208
13	0.7404960468	0.7557957568
14	0.740423842	0.7420727386
15	0.7401711253	0.7282952383
16	0.7401530741	0.7180894908
17	0.7398823062	0.7103002242
18	0.7400628182	0.7009256099
19	0.7403335861	0.6956166671
20	0.7403877396	0.6866178535
21	0.7413625041	0.6765501756
22	0.7418137839	0.6678205802
23	0.7420303982	0.6636102959
24	0.7432578793	0.6536552167
25	0.7441423878	0.6459350865
26	0.7455503809	0.6387454848
27	0.7469583739	0.6329879273
28	0.7480594967	0.6276528741
29	0.7490703636	0.623564468
30	0.7489620564	0.6198944767
31	0.7502436911	0.6164742266
32	0.7510559948	0.613353261
33	0.7514531211	0.6108038297
34	0.752012708	0.6083257461
35	0.7523376295	0.6047969641
36	0.7530957796	0.6019226394
37	0.7535651107	0.5991577206
38	0.753691469	0.5966175128
39	0.7548828478	0.5945331206
40	0.7554424347	0.5925913082
41	0.7557673562	0.5906364549
42	0.7558937146	0.5889158206
43	0.7567060183	0.5873613344
44	0.7570670421	0.5860659887
45	0.7573739124	0.5848680709
46	0.7577529875	0.5837431428
47	0.7578251922	0.5830267699
48	0.7580959601	0.58212214
49	0.7586374959	0.581312305
50	0.7591790317	0.5807403665
51	0.7591609805	0.5801963091
52	0.7593956461	0.5794274966
53	0.7595039532	0.5790269921
54	0.7595039532	0.5786695729
55	0.7597386187	0.5781161868
56	0.7597386187	0.5777023768
57	0.7599732842	0.5770548729
58	0.7600093866	0.5765325704
59	0.7600815914	0.5760717382
60	0.7604787176	0.5754867875
61	0.7608036391	0.5746384116
62	0.7610022022	0.5743016237
63	0.7612368678	0.5737347496
64	0.7613632261	0.573493373
65	0.7614173797	0.5731053722
66	0.7614534821	0.5728212427
67	0.7615076357	0.5724884109
68	0.7614895845	0.5721575199
69	0.7617423012	0.5717036455
70	0.76172425	0.5712372225
71	0.7618325571	0.5709064188
72	0.7617964547	0.5705546217
73	0.7618325571	0.5703831738
74	0.7621213762	0.570154303
75	0.7620852738	0.5697554009
76	0.7622116322	0.5694165622
77	0.7623921441	0.5689777545
78	0.7624824001	0.5688867146
79	0.7624643489	0.5686137733
80	0.7625365537	0.5683385587
81	0.7627170656	0.5680830407
82	0.7643597242	0.5677597212
83	0.7645402361	0.567335837
84	0.7645221849	0.5671853418
85	0.7647749016	0.5669732723
86	0.7647749016	0.5668995414
87	0.764811004	0.5667213772
88	0.7649193112	0.5665412751
89	0.7650276183	0.566376399
90	0.7652081303	0.5661408552
91	0.7652622838	0.5659850671
92	0.765370591	0.5652892289
93	0.7656413589	0.5646341524
94	0.7656233077	0.5645736307
95	0.7657677172	0.5641451739
96	0.765839922	0.5636262215
97	0.7660745875	0.5631043682
98	0.7660023828	0.5629991938
99	0.7661828947	0.5624056331
