iter	Passed	Remaining
0	155	155558
1	299	149533
2	418	139164
3	508	126613
4	650	129389
5	719	119207
6	910	129158
7	1078	133758
8	1262	139004
9	1407	139343
10	1559	140241
11	1711	140922
12	1865	141599
13	2011	141644
14	2152	141314
15	2338	143820
16	2583	149377
17	2718	148321
18	2937	151666
19	3117	152753
20	3256	151802
21	3402	151268
22	3551	150857
23	3671	149323
24	3838	149698
25	4032	151072
26	4189	150965
27	4350	151026
28	4486	150232
29	4628	149658
30	4776	149294
31	4925	148986
32	5064	148408
33	5207	147968
34	5367	147991
35	5537	148281
36	5696	148269
37	5879	148839
38	6048	149037
39	6221	149319
40	6371	149025
41	6524	148813
42	6685	148798
43	6816	148105
44	6950	147494
45	7108	147415
46	7288	147788
47	7470	148170
48	7656	148601
49	7810	148395
50	7963	148184
51	8142	148445
52	8368	149521
53	8565	150055
54	8724	149902
55	8898	149999
56	9084	150295
57	9269	150555
58	9440	150564
59	9624	150777
60	9779	150533
61	9945	150469
62	10140	150813
63	10322	150960
64	10513	151226
65	10677	151104
66	10831	150837
67	11041	151333
68	11196	151073
69	11371	151073
70	11550	151136
71	11705	150877
72	11890	150993
73	12013	150327
74	12172	150126
75	12321	149807
76	12463	149402
77	12626	149248
78	12786	149063
79	12948	148908
80	13156	149268
81	13349	149451
82	13503	149194
83	13672	149099
84	13829	148867
85	13971	148487
86	14140	148396
87	14321	148420
88	14514	148569
89	14693	148570
90	14904	148881
91	15082	148854
92	15255	148779
93	15437	148787
94	15626	148862
95	15781	148606
96	15976	148728
97	16162	148759
98	16357	148870
99	16533	148804
100	16731	148928
101	16919	148955
102	17108	148996
103	17302	149068
104	17500	149168
105	17698	149264
106	17876	149191
107	18075	149292
108	18280	149430
109	18462	149376
110	18718	149919
111	18956	150301
112	19130	150168
113	19289	149917
114	19499	150058
115	19673	149929
116	19892	150125
117	20061	149954
118	20235	149809
119	20385	149491
120	20556	149329
121	20750	149335
122	20933	149254
123	21113	149158
124	21289	149023
125	21481	149003
126	21645	148793
127	21833	148740
128	22012	148630
129	22159	148298
130	22332	148146
131	22478	147813
132	22625	147493
133	22815	147448
134	22992	147320
135	23164	147165
136	23345	147059
137	23544	147068
138	23719	146923
139	23898	146804
140	24060	146579
141	24228	146392
142	24434	146434
143	24623	146373
144	24800	146236
145	24955	145969
146	25116	145742
147	25290	145589
148	25440	145302
149	25587	144993
150	25800	145063
151	25966	144863
152	26136	144688
153	26332	144655
154	26510	144526
155	26676	144325
156	26839	144112
157	27017	143980
158	27167	143699
159	27323	143448
160	27546	143550
161	27756	143580
162	27939	143468
163	28132	143404
164	28365	143549
165	28558	143479
166	28765	143481
167	28904	143143
168	29064	142916
169	29244	142779
170	29419	142623
171	29614	142561
172	29788	142398
173	29988	142360
174	30171	142235
175	30350	142096
176	30505	141843
177	30662	141600
178	30815	141338
179	30988	141170
180	31189	141130
181	31386	141064
182	31579	140986
183	31764	140869
184	31967	140827
185	32122	140576
186	32297	140417
187	32515	140438
188	32723	140416
189	32998	140676
190	33237	140781
191	33418	140637
192	33636	140645
193	33851	140639
194	34062	140616
195	34257	140525
196	34461	140468
197	34674	140450
198	34869	140355
199	35054	140219
200	35209	139961
201	35414	139905
202	35563	139624
203	35764	139550
204	35976	139516
205	36180	139454
206	36382	139378
207	36547	139161
208	36730	139012
209	36952	139010
